Physicality,score
66,98.83500000000139
63,91.69500000000106
67,91.44000000000105
59,78.30750000000053
55,74.73750000000038
56,73.84500000000041
57,73.71750000000037
70,72.18750000000033
53,59.18249999999984
64,47.45250000000058
64,47.45250000000058
65,46.75125000000055
65,46.75125000000055
61,45.41250000000051
61,45.41250000000051
58,39.037500000000264
58,39.037500000000264
68,30.622500000000066
68,30.622500000000066
68,30.622500000000066
72,19.785000000000156
72,19.785000000000156
72,19.785000000000156
71,18.573750000000093
71,18.573750000000093
71,18.573750000000093
71,18.573750000000093
69,14.047500000000113
69,14.047500000000113
69,14.047500000000113
69,14.047500000000113
69,14.047500000000113
69,14.047500000000113
74,13.707500000000083
74,13.707500000000083
74,13.707500000000083
73,12.899999999999924
73,12.899999999999924
73,12.899999999999924
73,12.899999999999924
76,12.64499999999996
76,12.64499999999996
75,5.420000000000019
75,5.420000000000019
75,5.420000000000019
75,5.420000000000019
75,5.420000000000019
75,5.420000000000019
77,4.580624999999998
77,4.580624999999998
77,4.580624999999998
77,4.580624999999998
78,2.0260714285714254
78,2.0260714285714254
78,2.0260714285714254
78,2.0260714285714254
78,2.0260714285714254
78,2.0260714285714254
78,2.0260714285714254
79,1.7310000000000008
79,1.7310000000000008
79,1.7310000000000008
79,1.7310000000000008
79,1.7310000000000008
80,1.5525000000000007
80,1.5525000000000007
80,1.5525000000000007
80,1.5525000000000007
80,1.5525000000000007
81,1.0212500000000002
81,1.0212500000000002
81,1.0212500000000002
81,1.0212500000000002
81,1.0212500000000002
81,1.0212500000000002
82,0.7450000000000001
82,0.7450000000000001
82,0.7450000000000001
85,0.5325000000000001
83,0.405
83,0.405
83,0.405
84,0.405
83,0.405
83,0.405
84,0.405
84,0.405
86,0.2775
55,0.15000000000000002
76,0.15000000000000002
68,0.15000000000000002
77,0.15000000000000002
65,0.15000000000000002
75,0.15000000000000002
72,0.15000000000000002
60,0.15000000000000002
67,0.15000000000000002
74,0.15000000000000002
81,0.15000000000000002
60,0.15000000000000002
81,0.15000000000000002
78,0.15000000000000002
83,0.15000000000000002
80,0.15000000000000002
78,0.15000000000000002
67,0.15000000000000002
78,0.15000000000000002
68,0.15000000000000002
78,0.15000000000000002
77,0.15000000000000002
78,0.15000000000000002
81,0.15000000000000002
79,0.15000000000000002
60,0.15000000000000002
54,0.15000000000000002
71,0.15000000000000002
80,0.15000000000000002
57,0.15000000000000002
75,0.15000000000000002
77,0.15000000000000002
82,0.15000000000000002
82,0.15000000000000002
